Geneid	Chr	Start	End	Strand	Length	/scratch/project_2000350/genomics/rna-seq/bam/S1_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S2_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S4_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S6_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_1_5.bam
NCU00695	Supercontig_12.1	7521195	7523464	-	2270	0	0	0	0	0	0	0	0	0	0	0	0
NCU00696	Supercontig_12.1;Supercontig_12.1	7519653;7520181	7520063;7523515	+;+	3746	3037	3104	4344	5871	3227	7012	6960	4255	6345	3843	6055	2754
NCU00697	Supercontig_12.1	7517210	7519178	+	1969	38	82	102	96	66	157	100	92	93	124	93	88
NCU00698	Supercontig_12.1	7505070	7506488	+	1419	8	2	24	16	11	23	18	28	13	5	25	6
NCU00699	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7501963;7502486;7502680;7503678;7503911	7502419;7502591;7503571;7503767;7504280	+;+;+;+;+	1915	279	296	103	174	364	197	194	371	173	407	187	354
NCU00700	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7496808;7496865;7497663;7497663;7498103;7498103;7498229;7498229;7498589	7497583;7497583;7498043;7498043;7498176;7498176;7499825;7498533;7499825	-;-;-;-;-;-;-;-;-	2828	199	204	598	662	239	491	702	261	626	276	653	236
NCU00701	Supercontig_12.1;Supercontig_12.1	7494616;7495295	7495180;7496064	+;+	1335	106	141	140	155	113	146	198	139	139	163	116	80
NCU00704	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7490347;7490722;7491013	7490593;7490902;7491136	+;+;+	552	0	0	4	2	0	10	2	2	6	0	0	0
NCU00705	Supercontig_12.1;Supercontig_12.1	7488453;7489190	7489121;7489348	+;+	828	2	9	8	4	19	15	15	0	20	12	20	16
NCU00706	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7485686;7486905;7487043	7486302;7486969;7487321	-;-;-	961	72729	86088	37580	50099	88669	50571	68125	98529	57331	90721	43200	78509
NCU00707	Supercontig_12.1;Supercontig_12.1	7482040;7483094	7483020;7483886	-;-	1774	629	706	166	268	739	269	419	957	319	947	205	609
NCU00708	Supercontig_12.1;Supercontig_12.1	7481198;7481438	7481353;7481927	-;-	646	16	22	4	7	24	3	7	39	10	26	6	27
NCU00709	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7477764;7479697;7480314	7479602;7480251;7480507	-;-;-	2588	41	38	24	24	39	16	22	55	32	70	26	39
NCU00710	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7475734;7476557;7476725	7476485;7476658;7477712	+;+;+	1842	35	18	53	78	29	59	28	38	86	79	78	44
NCU00711	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7471515;7472783;7473555	7472700;7473491;7474315	+;+;+	2656	177	232	438	480	255	487	445	291	471	197	527	218
NCU00712	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7464712;7465511;7468810	7465276;7468755;7469607	+;+;+	4608	785	861	2026	2268	972	1973	2298	895	2136	1032	2056	803
NCU00713	Supercontig_12.1;Supercontig_12.1	7460678;7462377	7461960;7462867	-;-	1774	798	801	517	527	911	585	622	996	488	1014	501	926
NCU00714	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7458140;7458564;7460139	7458494;7460076;7460604	+;+;+	2334	15365	17643	7311	10646	14122	7685	10882	16435	8384	16486	8934	15032
NCU00715	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7453431;7455225;7455337	7455161;7455266;7455648	-;-;-	2085	8	1	72	107	4	69	56	6	97	8	105	0
NCU00716	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7451777;7452761;7453167	7452648;7452952;7453525	+;+;+	1423	7818	8456	639	493	4332	321	439	6319	398	7435	489	9149
NCU00717	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7443977;7445219;7449028	7445106;7448969;7450085	+;+;+	5939	1089	1291	597	702	792	442	627	1200	598	1058	575	957
NCU00718	Supercontig_12.1;Supercontig_12.1	7439857;7440052	7439995;7440218	-;-	306	8	26	21	7	12	3	10	10	14	17	24	13
NCU00719	Supercontig_12.1	7431895	7433829	+	1935	14	14	12	14	13	9	12	8	10	2	24	10
NCU00720	Supercontig_12.1;Supercontig_12.1	7427034;7427512	7427451;7428944	+;+	1851	1423	1186	1242	1670	846	1171	1725	1300	1381	1539	1443	783
NCU00721	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7420682;7421623;7421907	7421539;7421844;7423601	+;+;+	2775	460	566	229	312	511	222	427	585	283	683	313	588
NCU00722	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7416282;7417468;7419786;7419786	7419680;7419701;7419999;7419957	-;-;-;-	3634	78	75	184	176	118	152	233	102	174	140	174	97
NCU00723	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7413276;7413527;7414274;7415466	7413418;7414216;7415403;7415829	-;-;-;-	2327	359	389	253	315	439	256	292	501	314	470	262	334
NCU00724	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7409991;7410134;7411023;7412197	7410077;7410908;7412102;7412312	+;+;+;+	2058	91	127	78	88	91	40	44	135	44	54	72	62
NCU00725	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7406613;7406996;7407134;7407282	7406919;7407027;7407213;7408949	+;+;+;+	2087	2758	3053	2320	2972	2793	2294	2883	3334	2410	3188	2558	2484
NCU00726	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7403946;7404590;7405030;7405192;7406195	7404523;7404759;7405097;7405336;7406381	-;-;-;-;-	1148	1381	1184	16374	17598	1153	11958	12296	1272	14045	1278	16410	688
NCU00727	Supercontig_12.1;Supercontig_12.1	7402330;7402840	7402764;7404039	+;+	1635	135	178	189	229	223	190	255	254	258	321	194	120
NCU00728	Supercontig_12.1;Supercontig_12.1	7398816;7398972	7398874;7401357	+;+	2445	36	50	155	163	78	143	159	58	125	82	162	22
NCU00729	Supercontig_12.1;Supercontig_12.1	7395887;7396939	7396754;7397486	-;-	1416	3441	2623	18789	16090	3274	13154	13394	3104	14217	3168	16381	2019
NCU00730	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7391559;7393470;7393829;7394611;7394836	7393396;7393756;7394540;7394759;7394977	-;-;-;-;-	3128	59	78	241	420	102	299	248	104	456	97	423	117
NCU00732	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7386748;7386989;7387237;7387569;7387891;7388813	7386913;7387164;7387504;7387615;7388691;7388890	-;-;-;-;-;-	1536	4	14	54	42	10	30	46	24	40	4	58	14
NCU00733	Supercontig_12.1	7383007	7383980	+	974	62	83	24	27	93	77	101	107	64	67	49	97
NCU00734	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7378848;7380399;7380469;7380577;7380967	7380323;7380418;7380518;7380619;7381433	-;-;-;-;-	2056	2778	2944	1492	1820	3391	2182	2272	3804	2162	3753	1924	2900
NCU00735	Supercontig_12.1;Supercontig_12.1	7377669;7378115	7377867;7378932	+;+	1017	596	797	149	175	781	171	380	888	237	884	162	690
NCU00736	Supercontig_12.1;Supercontig_12.1	7375502;7377052	7376945;7377192	-;-	1585	16	19	20	11	0	7	30	4	22	12	24	6
NCU00737	Supercontig_12.1;Supercontig_12.1	7374184;7375181	7375070;7376676	+;+	2383	434	358	1896	2231	303	1627	1840	374	1815	433	2188	255
NCU00738	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7370870;7370870;7373433	7373260;7373518;7373518	-;-;-	2649	193	212	207	239	216	226	245	340	254	225	208	230
NCU00739	Supercontig_12.1	7369025	7369396	+	372	0	0	3	0	0	0	2	0	0	2	0	2
NCU00740	Supercontig_12.1;Supercontig_12.1	7364773;7367308	7367242;7368279	+;+	3442	95	127	80	104	139	162	128	159	104	170	107	149
NCU00741	Supercontig_12.1;Supercontig_12.1	7360937;7362850	7362782;7364597	-;-	3594	2457	2651	922	1201	1840	1009	1300	2290	957	2278	1039	2310
NCU00742	Supercontig_12.1	7360766	7362918	+	2153	7	9	10	17	6	9	9	7	10	9	15	3
NCU00743	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7352112;7352660;7357111;7357673	7352590;7357028;7357537;7358123	-;-;-;-	5726	232	154	1944	2580	156	1633	2462	214	2021	246	2578	171
NCU00744	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7348489;7349740;7350038;7350309	7349602;7349963;7350138;7351528	+;+;+;+	2659	7447	8278	7414	8080	8192	7888	7295	8907	8050	7676	8099	6816
NCU00745	Supercontig_12.1;Supercontig_12.1	7342698;7343758	7343511;7343887	-;-	944	10	19	34	42	23	24	28	8	22	10	72	2
NCU00746	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7340581;7341376;7341834	7341284;7341739;7341842	-;-;-	1077	0	0	2	0	4	1	0	0	0	0	2	2
NCU00747	Supercontig_12.1	7337923	7338783	-	861	54	24	38	28	32	12	21	50	26	64	27	57
NCU00748	Supercontig_12.1	7331956	7334246	-	2291	25597	32015	1374	1406	26720	1093	1849	27690	1364	28292	1367	25196
NCU00749	Supercontig_12.1;Supercontig_12.1	7327756;7328509	7328084;7330004	+;+	1825	633	778	156	199	569	152	190	736	147	755	203	817
NCU00751	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7317207;7318088;7318625	7317520;7318304;7319761	+;+;+	1668	124	106	409	430	94	350	282	105	313	66	361	68
NCU00752	Supercontig_12.1	7315362	7315826	+	465	145	190	86	98	109	83	108	226	98	166	92	150
NCU00753	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7312111;7312363;7313395	7312186;7313315;7314029	+;+;+	1664	970	946	766	950	890	752	1181	988	955	1065	941	882
NCU00754	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7302928;7304689;7305034	7304606;7304952;7305736	-;-;-	2646	237715	217302	15794	21426	164368	9531	23436	235566	16215	240986	18293	158578
NCU00755	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7297630;7298488;7298888;7300258;7300576;7301012	7298425;7298722;7300201;7300502;7300904;7301466	+;+;+;+;+;+	3374	12000	12480	7594	8284	17144	8419	7859	19165	8475	18361	8227	14738
NCU00756	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7297108;7297352;7297555	7297271;7297414;7297678	-;-;-	351	5	3	6	2	5	0	0	6	11	8	3	2
NCU00757	Supercontig_12.1;Supercontig_12.1	7294158;7294859	7294741;7295330	+;+	1056	402	454	228	242	720	298	197	698	301	752	388	605
NCU00758	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7287588;7288211;7289682;7289883;7290250	7288158;7289604;7289802;7290188;7290779	+;+;+;+;+	2922	155	228	115	180	270	130	154	273	190	264	181	180
NCU00759	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7279481;7279867;7280989;7280989	7280889;7280925;7283180;7283180	+;+;+;+	3637	530	511	1000	1265	436	1038	1330	564	1163	677	1250	669
NCU00760	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7276921;7277509;7277860;7278001;7278106	7276942;7277738;7277883;7278033;7278147	+;+;+;+;+	351	0	0	0	0	0	0	0	0	0	0	0	0
NCU00761	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7274308;7274308;7275813;7275813;7278042	7275732;7275732;7278633;7277947;7278633	-;-;-;-;-	4246	19	5	25	29	16	43	44	20	52	23	33	19
NCU00762	Supercontig_12.1;Supercontig_12.1	7271711;7272743	7272673;7273785	-;-	2006	4	10	124	180	12	148	87	29	116	20	116	12
NCU00763	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7267094;7268310;7268545;7268691;7268832;7269018	7268225;7268477;7268606;7268740;7268889;7271438	+;+;+;+;+;+	3891	2	0	8	10	2	16	4	0	14	0	2	0
NCU00764	Supercontig_12.1	7266073	7266621	+	549	0	0	0	0	0	2	0	0	0	2	4	0
NCU00765	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7256383;7256616;7256953;7257417;7257639;7258187	7256544;7256892;7257358;7257573;7258115;7258595	+;+;+;+;+;+	1888	2	17	68	43	14	54	29	25	57	23	34	17
NCU00766	Supercontig_12.1	7252235	7253252	-	1018	687	307	2932	3228	567	2884	2428	639	2959	690	2855	385
NCU00768	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7239594;7239986;7241228;7241336;7241713;7242639;7242860;7243042;7243236;7243557;7244520	7239920;7240060;7241274;7241428;7241789;7242779;7242967;7243182;7243502;7244076;7245038	+;+;+;+;+;+;+;+;+;+;+	2315	1482	1454	2047	2612	1689	2149	2753	2126	2509	1935	2708	1362
NCU00770	Supercontig_12.1;Supercontig_12.1	7230617;7236205	7236132;7236711	-;-	6023	44	110	294	349	94	235	322	148	403	100	380	90
NCU00771	Supercontig_12.1;Supercontig_12.1	7227358;7229059	7229003;7230289	-;-	2877	209	175	875	939	247	809	897	309	833	320	986	185
NCU00772	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7223197;7223197;7225519;7225519;7225911;7225911;7226026	7225455;7225455;7225835;7225835;7225941;7226658;7226658	-;-;-;-;-;-;-	3324	191	161	299	351	227	245	406	276	338	316	430	230
NCU00773	Supercontig_12.1;Supercontig_12.1	7220200;7220804	7220701;7221720	-;-	1419	14	2	42	50	22	33	34	20	30	24	36	8
NCU00774	Supercontig_12.1;Supercontig_12.1	7217651;7219363	7219288;7219961	-;-	2237	137	116	221	237	161	204	236	166	180	156	201	114
NCU00775	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7214344;7215571;7216878	7215515;7216619;7217183	-;-;-	2527	4901	5056	5225	7281	5238	6248	7306	6192	6855	5708	6901	4180
NCU00776	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7210768;7212002;7212946	7211902;7212866;7212976	-;-;-	2031	0	0	0	0	0	0	0	0	0	0	0	0
NCU00777	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7209435;7209746;7210921	7209665;7210847;7213099	+;+;+	3512	334	298	101	206	423	177	274	613	163	642	176	312
NCU00778	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7206324;7208096;7208610;7208921	7208038;7208523;7208843;7209164	-;-;-;-	2621	37	50	217	223	58	205	240	55	217	65	187	32
NCU00779	Supercontig_12.1	7206321	7207789	+	1469	0	0	0	0	0	0	0	0	0	0	0	0
NCU00780	Supercontig_12.1	7202837	7204284	+	1448	106	134	281	256	124	184	224	121	198	140	175	100
NCU00781	Supercontig_12.1	7201094	7201383	+	290	6	6	1	0	0	6	2	14	8	5	6	3
NCU00782	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7194841;7195134;7195244;7195517	7195055;7195178;7195449;7196850	+;+;+;+	1800	14	20	205	315	26	169	252	22	218	32	319	12
NCU00783	Supercontig_12.1	7190600	7190887	-	288	7	6	10	21	8	9	7	6	22	19	35	7
NCU00784	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7185959;7187965;7188931	7187889;7188701;7189332	-;-;-	3070	456	418	532	773	287	452	607	387	566	348	764	297
NCU00786	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7179990;7181469;7181792;7182053	7181294;7181732;7181990;7182378	-;-;-;-	2094	37	20	46	30	12	24	23	24	44	22	36	21
NCU00787	Supercontig_12.1	7177092	7178704	+	1613	49	40	55	79	36	65	46	58	86	26	65	44
NCU00788	Supercontig_12.1;Supercontig_12.1	7173317;7175882	7175824;7176521	+;+	3148	332	325	238	218	389	284	248	471	292	435	238	365
NCU00789	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7169090;7170067;7172422	7169985;7172351;7172986	-;-;-	3746	1136	1213	1766	2329	1355	2287	2007	1607	2163	1666	2246	1188
NCU00790	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7160898;7161606;7161842	7161513;7161792;7164346	+;+;+	3308	30	27	159	202	12	157	168	24	185	48	182	8
NCU00792	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7155697;7156021;7156375;7157526	7155836;7156169;7157147;7158349	+;+;+;+	1886	1089	1194	2030	3101	1126	3011	4083	1520	3138	1320	2812	1042
NCU00793	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7151166;7151714;7154449;7154538	7151538;7154379;7154485;7155148	+;+;+;+	3687	3901	3767	12112	14296	4111	12018	12786	4976	11737	4708	11962	3399
NCU00794	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7143221;7143782;7144841;7145032	7143721;7144775;7144966;7145818	+;+;+;+	2408	673	783	160	181	848	229	302	947	219	1050	204	522
NCU00795	Supercontig_12.1;Supercontig_12.1	7140514;7140777	7140674;7142533	+;+	1918	35	25	9	13	14	18	9	18	19	41	19	44
NCU00796	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7135345;7136779;7137440	7136675;7137366;7139163	+;+;+	3643	100	96	419	494	78	305	364	135	394	166	499	83
NCU00797	Supercontig_12.1	7132913	7134885	-	1973	6	3	2	1	7	6	0	21	3	4	4	1
NCU00798	Supercontig_12.1	7131344	7132928	-	1585	0	0	0	0	0	0	0	0	0	0	0	0
NCU00799	Supercontig_12.1;Supercontig_12.1	7130370;7131476	7131406;7134604	+;+	4166	100	64	161	233	114	190	246	154	213	117	221	64
NCU00800	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7127315;7129050;7129384;7129742	7128967;7129289;7129685;7130103	-;-;-;-	2557	75	70	118	121	120	146	146	98	145	122	89	100
NCU00801	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7121829;7122247;7123548	7122174;7123476;7125021	-;-;-	3050	1470	1969	366	529	1092	449	541	1211	494	1381	454	1299
NCU00802	Supercontig_12.1;Supercontig_12.1	7117551;7119544	7119140;7119576	+;+	1623	127	123	287	455	130	339	268	166	383	171	387	122
NCU00803	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7113878;7113969;7115472;7115472;7115662;7115821;7115821	7115411;7115411;7115600;7115761;7115761;7116130;7115941	+;+;+;+;+;+;+	2134	116	126	106	160	114	226	158	84	225	196	191	140
NCU00804	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7110118;7110690;7110825	7110184;7110775;7110893	-;-;-	222	39	51	44	61	11	30	56	38	47	47	41	44
NCU00805	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7101915;7103214;7104312;7105043	7103130;7104125;7104685;7105538	-;-;-;-	2998	5457	6642	3650	5245	5225	5666	5086	6382	4798	6382	4709	5504
NCU00806	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7097634;7097962;7098313;7098409;7098731;7099585;7100165	7097702;7098245;7098347;7098543;7098880;7099606;7100186	-;-;-;-;-;-;-	717	5	12	3	14	5	2	2	4	4	1	7	12
NCU00807	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7095246;7095441;7095678;7095880	7095304;7095595;7095769;7095942	-;-;-;-	369	0	2	1	0	0	4	12	0	0	0	8	0
NCU00808	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7091574;7092219;7092363;7092493;7093274;7094369	7091674;7092293;7092438;7093187;7093846;7094712	+;+;+;+;+;+	1864	185	152	333	447	105	299	517	122	352	168	383	237
NCU00809	Supercontig_12.1;Supercontig_12.1	7088949;7089968	7089903;7091552	+;+	2540	463	504	116	271	298	174	236	317	208	404	227	558
NCU00810	Supercontig_12.1;Supercontig_12.1	7084807;7086160	7086092;7088666	-;-	3793	391	598	322	422	366	291	350	344	386	412	346	505
NCU00811	Supercontig_12.1	7081981	7084100	+	2120	8321	9198	2434	4439	6493	4669	9172	8705	5218	8961	4255	9327
NCU00812	Supercontig_12.1;Supercontig_12.1	7077348;7079009	7078899;7079923	-;-	2467	536	525	450	709	653	603	934	741	745	837	625	499
NCU00813	Supercontig_12.1;Supercontig_12.1	7076167;7076721	7076643;7078358	+;+	2115	823	687	1000	1126	976	845	744	1002	907	911	1065	627
NCU00814	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7072683;7073217;7075379;7075553	7073161;7075321;7075479;7075986	-;-;-;-	3119	1316	1097	4054	3920	1360	3285	2978	1411	3709	1373	3895	749
NCU00817	Supercontig_12.1	7067679	7069718	+	2040	0	0	0	0	0	0	0	0	0	0	0	0
NCU00818	Supercontig_12.1	7063260	7065462	-	2203	915	1100	386	660	1059	652	631	1216	739	1299	576	1165
NCU00819	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7061882;7062390;7062877	7062301;7062482;7062927	-;-;-	564	6	5	41	50	12	48	53	26	40	26	57	14
NCU00821	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7056000;7057779;7058161;7058505	7057722;7058095;7058441;7058684	-;-;-;-	2501	695	734	1677	2339	1278	1991	1966	1195	1894	1048	2237	972
NCU00822	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7052992;7054438;7054596	7054241;7054506;7055104	-;-;-	1828	2	8	12	9	0	2	12	6	14	2	18	0
NCU00823	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7049640;7050141;7050456	7050036;7050394;7051539	+;+;+	1735	346	266	1381	1601	254	1056	1385	327	1416	412	1625	237
NCU00824	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7046029;7047686;7048296;7048660	7047634;7048227;7048596;7049316	-;-;-;-	3106	232	271	167	271	261	213	256	332	169	308	216	299
NCU00825	Supercontig_12.1;Supercontig_12.1	7043408;7044778	7044706;7045920	-;-	2442	114	146	80	85	101	54	87	113	59	127	67	103
NCU00826	Supercontig_12.1;Supercontig_12.1	7041277;7042439	7042362;7043025	+;+	1673	4	24	34	52	6	46	31	4	30	10	53	8
NCU00827	Supercontig_12.1	7037745	7040004	-	2260	350	504	141	232	337	202	355	383	195	494	154	457
NCU00828	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7036170;7036574;7036761;7036866;7037106	7036490;7036689;7036787;7036996;7037836	+;+;+;+;+	1326	490	626	3209	4553	734	3394	4788	754	4671	840	3618	486
NCU00829	Supercontig_12.1	7032938	7035436	+	2499	988	1382	826	1181	880	742	858	1127	1132	1163	1097	1090
NCU00830	Supercontig_12.1;Supercontig_12.1	7030363;7031525	7031380;7032262	-;-	1756	692	771	41	30	626	39	50	718	46	757	52	808
NCU00831	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7027224;7027224;7027954;7028012;7028295;7028295;7029477;7029477	7027883;7027883;7028233;7028233;7029415;7029415;7030337;7030337	+;+;+;+;+;+;+;+	2922	1211	1535	4320	5562	1742	4638	5226	1872	5008	1756	5539	1138
NCU00832	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7024555;7025184;7026268	7025124;7026207;7027168	+;+;+	2495	111	115	216	245	73	156	225	101	272	103	285	87
NCU00833	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7015305;7016657;7017139	7016589;7017081;7022673	+;+;+	7245	1468	1674	668	927	1505	669	755	1922	723	1795	761	1525
NCU00834	Supercontig_12.1;Supercontig_12.1	7011828;7013698	7013448;7013934	-;-	1858	99	109	33	71	100	80	68	112	56	146	88	71
NCU00835	Supercontig_12.1;Supercontig_12.1	7007299;7008042	7007956;7009671	-;-	2288	127	168	213	353	200	367	272	234	312	235	258	167
NCU00836	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	7005196;7005882;7006223;7006718	7005781;7006017;7006681;7006890	+;+;+;+	1354	0	2	31	42	0	52	48	2	75	4	47	0
NCU00837	Supercontig_12.1	7002702	7004301	+	1600	269	325	395	436	276	328	399	379	378	359	364	234
NCU00838	Supercontig_12.1	6996183	6997951	-	1769	2571	1925	6397	5611	2070	3901	4040	2240	4539	2136	4917	1029
NCU00839	Supercontig_12.1;Supercontig_12.1	6995309;6995662	6995579;6996419	+;+	1029	25	4	31	31	6	21	40	4	47	14	50	2
NCU00840	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	6990816;6991015;6993272	6990836;6993138;6993454	-;-;-	2328	4	9	49	28	12	15	21	12	14	4	15	0
NCU00841	Supercontig_12.1;Supercontig_12.1	6989142;6989544	6989454;6990577	+;+	1347	0	0	0	0	0	0	0	0	0	0	0	0
NCU00842	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	6987125;6987398;6987620;6987759	6987284;6987526;6987673;6987802	-;-;-;-	387	2	14	10	2	14	7	11	0	8	1	16	4
NCU00843	Supercontig_12.1;Supercontig_12.1	6984105;6985221	6985136;6985883	-;-	1695	3028	3501	1231	1451	2754	1462	1998	3246	1685	3130	1260	2472
NCU00844	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	6981119;6981216;6981848;6982077;6982280;6982643;6982987;6983161	6981153;6981668;6982017;6982226;6982568;6982843;6983080;6984088	+;+;+;+;+;+;+;+	2320	2	3	14	19	10	13	24	12	28	5	15	17
NCU00845	Supercontig_12.1;Supercontig_12.1	6978756;6979618	6979544;6980502	-;-	1674	0	1	2	2	1	7	7	2	2	1	3	2
NCU00846	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	6973145;6973297;6974432;6974569;6974873;6975364	6973177;6974179;6974515;6974805;6975309;6976301	-;-;-;-;-;-	2612	88	98	102	86	55	55	113	83	92	92	102	65
NCU00847	Supercontig_12.1	6971660	6973082	+	1423	7530	7823	3786	4655	6802	4616	5558	8153	4674	7026	4785	4979
NCU00848	Supercontig_12.1	6967984	6970315	+	2332	1128	1428	569	631	1380	367	509	1693	540	1585	671	1096
